Date,Location,Depth,pH,TDS,Precepitation,Colour (PCU),Fe (mg/l),K2O (mg/l),Mn/MnO4 (mg/l),Conductivity(µs/cm)
2012-04-01,DH1,9.704455861179323,4.84,22.4,260.0,5.0,0.0,15.0,0.22281453599207443,44.2
2012-04-01,DH2,9.67178531660286,4.26,23.8,260.0,5.0,0.01,15.0,0.21872155300373902,34.6
2012-04-01,DH3,9.37317420205288,6.14,76.6,260.0,16.0,0.01,15.0,0.23928622328283883,139.0
2012-04-01,DH4,9.327004605715599,5.14,36.6,260.0,273.0,0.05,15.0,0.22817204518491627,69.6
2012-04-01,DH5,9.8,4.64,18.2,260.0,7.0,0.09,10.0,0.24047724699488368,35.2
2012-04-01,P1,9.031176846460774,4.8709007381003895,26.006198936562207,260.0,27.49161961385691,0.03283703226266443,13.965366750332185,0.23898923815543804,45.83254886428162
2012-04-01,P2,8.811764602031408,4.99838011007552,28.243627991479514,260.0,25.104637204540897,0.04681359324149688,13.716050120936549,0.22987838717821538,46.50755278681462
2012-04-01,P3,8.78515377600393,5.0932978110852165,37.60145463725533,260.0,25.752516123242025,0.05872941560462344,12.987630799360142,0.23055811881258176,46.810383476958705
2012-04-01,P4,7.5,4.806153608889915,21.022769009577118,260.0,24.568902027861178,0.052689682952488874,12.316906809371792,0.22972099162820686,46.10784891186292
2012-04-01,P5,8.761276426825932,4.767433290103795,20.470280839614627,260.0,29.807231250279877,0.05819210506374275,11.780739073700946,0.2254963408773736,43.95702609486963
2012-04-01,P6,8.931907162747812,4.746618546103874,21.475631558440185,260.0,21.84061075022206,0.040098850035149,12.150854178000715,0.24702766462413125,51.36271752424005
2012-10-01,DH1,9.455837639553803,4.84,22.4,112.0,5.0,0.0,15.0,0.2235713866221011,44.2
2012-10-01,DH2,10.089754866023524,4.26,23.8,112.0,5.0,0.01,15.0,0.2266601766929236,34.6
2012-10-01,DH3,10.302418288652133,6.14,76.6,112.0,16.0,0.01,15.0,0.24447422879026057,139.0
2012-10-01,DH4,10.782957294814764,5.14,36.6,112.0,273.0,0.05,15.0,0.21355940164147436,69.6
2012-10-01,DH5,11.9,4.64,18.2,112.0,7.0,0.09,10.0,0.2496987475381349,35.2
